ts,open,high,low,close,volume
2025-01-03,22945.0,23143.0,22731.0,23125.0,233183
2025-01-04,23125.0,23246.0,23120.0,23228.0,24685
2025-01-06,23234.0,23956.0,23218.0,23923.0,218868
2025-01-07,23923.0,23993.0,23553.0,23635.0,219800
2025-01-08,23636.0,23677.0,23272.0,23337.0,245765
2025-01-09,23337.0,23410.0,23006.0,23150.0,198738
2025-01-10,23150.0,23175.0,22800.0,22927.0,239544
2025-01-11,22925.0,23003.0,22850.0,22930.0,32655
2025-01-13,22978.0,23008.0,22316.0,22428.0,270447
2025-01-14,22428.0,22821.0,22362.0,22638.0,199139
2025-01-15,22638.0,22955.0,22493.0,22931.0,202200
2025-01-16,22932.0,23529.0,22885.0,23332.0,302640
2025-01-17,23333.0,23380.0,22956.0,23340.0,243327
2025-01-18,23339.0,23346.0,23220.0,23251.0,15952
2025-01-20,23260.0,23439.0,23171.0,23360.0,162601
2025-01-21,23359.0,23482.0,23203.0,23461.0,191977
2025-01-22,23462.0,23820.0,23450.0,23750.0,168293
2025-01-23,23748.0,23842.0,23735.0,23806.0,17634
2025-02-04,22901.0,23027.0,22709.0,22999.0,179354
2025-02-05,22999.0,23282.0,22999.0,23245.0,181330
2025-02-06,23246.0,23378.0,23234.0,23280.0,154507
2025-02-07,23280.0,23526.0,23246.0,23296.0,167998
2025-02-08,23296.0,23325.0,23209.0,23240.0,36210
2025-02-10,23319.0,23428.0,23168.0,23414.0,150777
2025-02-11,23414.0,23503.0,23214.0,23415.0,171869
2025-02-12,23416.0,23536.0,23150.0,23295.0,210560
2025-02-13,23296.0,23455.0,23228.0,23343.0,199001
2025-02-14,23342.0,23387.0,23065.0,23200.0,198275
2025-02-15,23200.0,23348.0,23134.0,23307.0,28734
2025-02-17,23293.0,23562.0,23281.0,23522.0,117186
2025-02-18,23523.0,23703.0,23466.0,23567.0,120657
2025-02-19,23565.0,23698.0,23513.0,23562.0,127144
2025-02-20,23562.0,23644.0,23372.0,23491.0,201442
2025-02-21,23491.0,23783.0,23468.0,23662.0,173082
2025-02-22,23663.0,23683.0,23421.0,23489.0,44461
2025-02-24,23545.0,23594.0,23264.0,23282.0,182556
2025-02-25,23282.0,23403.0,23070.0,23154.0,241007
2025-02-26,23155.0,23552.0,23050.0,23544.0,221291
2025-02-27,23546.0,23590.0,22893.0,22963.0,287836
2025-02-28,22963.0,23022.0,22602.0,22611.0,44308
2025-03-03,22649.0,22798.0,22417.0,22576.0,250830
2025-03-04,22577.0,22682.0,22109.0,22447.0,333784
2025-03-05,22447.0,22962.0,22369.0,22832.0,300995
2025-03-06,22831.0,23030.0,22483.0,22642.0,281697
2025-03-07,22643.0,22700.0,22367.0,22443.0,283896
2025-03-08,22442.0,22578.0,22242.0,22578.0,69551
2025-03-10,22456.0,22548.0,22099.0,22121.0,235657
2025-03-11,22122.0,22161.0,21661.0,22000.0,363676
2025-03-12,22002.0,22444.0,21835.0,22388.0,303936
2025-03-13,22388.0,22475.0,21857.0,21933.0,335272
2025-03-14,21934.0,22211.0,21875.0,22182.0,251957
2025-03-15,22185.0,22215.0,22144.0,22208.0,19963
2025-03-17,22168.0,22342.0,22098.0,22297.0,196021
2025-03-18,22296.0,22438.0,22093.0,22144.0,189100
2025-03-19,22146.0,22249.0,21945.0,22154.0,181088
2025-03-20,22153.0,22418.0,22071.0,22316.0,273356
2025-03-21,22316.0,22376.0,22017.0,22076.0,241976
2025-03-22,22075.0,22211.0,22054.0,22198.0,30527
2025-03-24,22298.0,22398.0,22125.0,22338.0,193244
2025-03-25,22339.0,22444.0,22202.0,22328.0,216690
2025-03-26,22330.0,22428.0,22088.0,22094.0,204681
2025-03-27,22095.0,22098.0,21786.0,21827.0,266142
2025-03-28,21825.0,21896.0,21283.0,21300.0,300737
2025-03-29,21300.0,21338.0,21130.0,21136.0,44649
2025-03-31,20863.0,21065.0,20688.0,20965.0,315861
2025-04-01,20965.0,21365.0,20887.0,21335.0,298186
2025-04-02,21335.0,21484.0,21188.0,21462.0,265021
2025-04-03,21463.0,21668.0,20806.0,20850.0,102323
2025-04-07,19167.0,19287.0,17567.0,18387.0,397422
2025-04-08,18390.0,18847.0,18003.0,18660.0,550726
2025-04-09,18659.0,18663.0,17015.0,17335.0,763849
2025-04-10,17334.0,19747.0,17327.0,18722.0,374158
2025-04-11,18719.0,19586.0,18384.0,19435.0,625562
2025-04-12,19435.0,19580.0,19357.0,19535.0,55828
2025-04-14,19796.0,19981.0,19381.0,19424.0,305876
2025-04-15,19424.0,19909.0,19346.0,19843.0,251464
2025-04-16,19841.0,19883.0,19181.0,19361.0,245952
2025-04-17,19360.0,19583.0,19002.0,19326.0,356344
2025-04-18,19325.0,19452.0,19273.0,19337.0,142737
2025-04-19,19336.0,19402.0,19335.0,19366.0,5391
2025-04-21,19345.0,19367.0,18772.0,18797.0,221130
2025-04-22,18798.0,19056.0,18752.0,19028.0,254213
2025-04-23,19030.0,19775.0,18962.0,19572.0,323345
2025-04-24,19572.0,19811.0,19354.0,19790.0,276400
2025-04-25,19788.0,20008.0,19752.0,19876.0,276291
2025-04-26,19877.0,20071.0,19857.0,20051.0,49735
2025-04-28,19972.0,20065.0,19825.0,19882.0,183094
2025-04-29,19882.0,20206.0,19832.0,20143.0,213031
2025-04-30,20142.0,20266.0,19923.0,20088.0,257392
2025-05-01,20089.0,20433.0,20020.0,20415.0,49826
2025-05-02,20469.0,20887.0,20468.0,20833.0,209896
2025-05-03,20833.0,20900.0,20783.0,20840.0,29796
2025-05-05,20767.0,20798.0,20207.0,20279.0,283928
2025-05-06,20278.0,20483.0,20139.0,20314.0,258974
2025-05-07,20315.0,20558.0,20228.0,20380.0,269636
2025-05-08,20380.0,20796.0,20251.0,20762.0,293296
2025-05-09,20762.0,20885.0,20597.0,20801.0,240676
2025-05-10,20801.0,20812.0,20742.0,20796.0,19724
2025-05-12,21006.0,21447.0,20978.0,21386.0,224236
2025-05-13,21387.0,21688.0,21288.0,21687.0,221493
2025-05-14,21687.0,21889.0,21580.0,21820.0,219890
2025-05-15,21820.0,21845.0,21630.0,21738.0,174203
2025-05-16,21740.0,21931.0,21679.0,21831.0,180180
2025-05-17,21831.0,21899.0,21820.0,21825.0,14856
2025-05-19,21692.0,21747.0,21475.0,21674.0,181421
2025-05-20,21674.0,21786.0,21505.0,21591.0,155504
2025-05-21,21591.0,21852.0,21492.0,21703.0,154363
2025-05-22,21703.0,21727.0,21332.0,21509.0,232146
2025-05-23,21508.0,21640.0,21072.0,21201.0,266458
2025-05-24,21200.0,21329.0,21178.0,21247.0,29235
2025-05-26,21450.0,21562.0,21334.0,21383.0,141511
2025-05-27,21381.0,21438.0,21132.0,21335.0,187485
2025-05-28,21335.0,21512.0,21150.0,21228.0,214862
2025-05-29,21228.0,21615.0,20944.0,20953.0,280214
2025-05-30,20952.0,21114.0,20933.0,21068.0,32312
2025-06-02,20972.0,21049.0,20790.0,21003.0,193549
2025-06-03,21004.0,21230.0,20958.0,21228.0,211842
2025-06-04,21228.0,21576.0,21201.0,21529.0,193612
2025-06-05,21529.0,21752.0,21501.0,21740.0,191473
2025-06-06,21740.0,21745.0,21501.0,21685.0,169004
2025-06-07,21685.0,21701.0,21620.0,21661.0,15948
2025-06-09,21666.0,21853.0,21626.0,21825.0,134751
2025-06-10,21827.0,22260.0,21818.0,22194.0,194991
2025-06-11,22195.0,22491.0,22176.0,22430.0,191313
2025-06-12,22430.0,22442.0,22135.0,22299.0,175717
2025-06-13,22299.0,22338.0,21893.0,22116.0,223310
2025-06-14,22115.0,22146.0,21968.0,21984.0,28811
2025-06-16,22045.0,22277.0,21868.0,22229.0,147042
2025-06-17,22230.0,22260.0,22061.0,22155.0,161623
2025-06-18,22156.0,22385.0,21740.0,21854.0,190555
2025-06-19,21854.0,21918.0,21478.0,21479.0,185845
2025-06-20,21478.0,21788.0,21408.0,21470.0,264819
2025-06-21,21469.0,21523.0,21412.0,21459.0,26854
2025-06-23,21343.0,21574.0,21206.0,21496.0,205010
2025-06-24,21495.0,22075.0,21350.0,22038.0,240005
2025-06-25,22038.0,22215.0,22017.0,22154.0,169972
2025-06-26,22154.0,22264.0,22009.0,22134.0,186612
2025-06-27,22134.0,22220.0,21988.0,22190.0,191672
2025-06-28,22191.0,22217.0,22075.0,22137.0,26992
2025-06-30,22235.0,22257.0,22012.0,22124.0,142653
2025-07-01,22125.0,22592.0,22063.0,22271.0,225855
2025-07-02,22270.0,22480.0,22208.0,22470.0,172891
2025-07-03,22471.0,22875.0,22460.0,22847.0,184213
2025-07-04,22848.0,22853.0,22316.0,22380.0,181148
2025-07-05,22380.0,22400.0,22318.0,22354.0,9517
2025-07-07,22345.0,22505.0,22246.0,22371.0,164734
2025-07-08,22371.0,22415.0,22142.0,22257.0,203890
2025-07-09,22256.0,22567.0,22146.0,22436.0,199127
2025-07-10,22435.0,22694.0,22408.0,22632.0,191786
2025-07-11,22631.0,22772.0,22487.0,22666.0,171329
2025-07-12,22666.0,22707.0,22638.0,22640.0,11649
2025-07-14,22656.0,22695.0,22461.0,22562.0,137424
2025-07-15,22561.0,22936.0,22512.0,22885.0,170868
2025-07-16,22884.0,23118.0,22811.0,22918.0,150724
2025-07-17,22919.0,23393.0,22866.0,23375.0,208233
2025-07-18,23377.0,23414.0,23178.0,23252.0,149660
2025-07-19,23252.0,23253.0,23191.0,23194.0,10968
2025-07-21,23231.0,23395.0,23173.0,23326.0,118009
2025-07-22,23327.0,23407.0,22862.0,23005.0,228526
2025-07-23,23005.0,23292.0,22975.0,23282.0,176609
2025-07-24,23283.0,23405.0,23190.0,23260.0,158039
2025-07-25,23262.0,23354.0,23190.0,23333.0,141136
2025-07-26,23333.0,23368.0,23323.0,23348.0,11764
2025-07-28,23372.0,23483.0,23246.0,23306.0,150795
2025-07-29,23306.0,23359.0,23027.0,23188.0,196693
2025-07-30,23188.0,23420.0,23164.0,23336.0,184871
2025-07-31,23337.0,23683.0,23222.0,23469.0,236359
2025-08-01,23468.0,23493.0,22980.0,23140.0,266146
2025-08-02,23140.0,23162.0,23021.0,23088.0,26778
2025-08-04,23114.0,23387.0,23032.0,23381.0,143848
2025-08-05,23381.0,23621.0,23362.0,23421.0,185378
2025-08-06,23420.0,23482.0,23292.0,23379.0,163782
2025-08-07,23378.0,24132.0,23364.0,23996.0,219816
2025-08-08,23995.0,24095.0,23906.0,23979.0,135784
